File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/polling_rcvr/polling_rcvr.c,199,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(bahost, optarg);",475fb923dab7e4ef9fdec59e97060c0e467247b084fc2ee8dfc5bec0d2f2ad36
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/polling_rcvr/polling_rcvr.c,205,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(demuxString, optarg);",9c6fa2bc8e1bb8a6986aea5728f817ee76b88720a9e11f1d87f475b63f46ea91
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/polling_rcvr/polling_rcvr.c,242,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(resourceFileName, getenv(""HOME""));",fba10e2bd7b3542a5b2e3dc4dfaa47ad9a9ba3262d5aa2dbca8f9f9c7f8a022a
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/polling_rcvr/polling_rcvr.c,257,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(theLine[i++], next);",020f79e4eb33e8f7b521d5316b0dd0c98ba3c0f94c15a4157067d094efba5259
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/polling_rcvr/polling_rcvr.c,280,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(resourceFileName, getenv(""HOME""));",fba10e2bd7b3542a5b2e3dc4dfaa47ad9a9ba3262d5aa2dbca8f9f9c7f8a022a
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,85,55,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"#define copyIf(x, y, z) if ( strcmp(y, #x "":"")==0 ) { strcpy(x, z); }",5d4e55680fc57d8043c320395629d9b04df8a0597730b0240dab5842fa3d16c1
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,281,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(bahost, optarg);",475fb923dab7e4ef9fdec59e97060c0e467247b084fc2ee8dfc5bec0d2f2ad36
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,284,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(localstuff, optarg);",52bb5968ad89ec4fb031119d435309483a540fc777e68ab5ef4b6be54d9fcc6f
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,287,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(destTuple, optarg);",dd80e8ed5b0e6134a6a1acc39c618e6a6c2d16b8c13612ee37dee6816bb8ab1b
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,290,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(sourceIntf, optarg);",c8c1cbe23a62eef8274ba05ea64c13c395adf11af5af7d31ef7eb00952bb2855
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,299,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(bundle_data, optarg);",79a932377eae0291df814368d8130d0c13009bd00f1529b4a5baab29de41fedc
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/snd_bundle_2/snd_bundle.c,302,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(fname, optarg);",0bb5616e42f995cd445290f41d42360f48df6a3797ee2f420f96ee3c22f9bd3b
