File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,,,,,,,,
contiki 3.0/apps/directory/directory.c,191,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(message + 7, dirent.name);",17ae86832306bfb50816df7097dd74d34a76009e3d71550b16eee4696acd4a25,,,,,,,,
contiki 3.0/apps/directory/directory.c,217,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(message + 9, name);",c551aa4364be05e71360a2f7c5e62b2672fe1a6f4f82199613ef6fb7cd7f6cf0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-block1.c,47,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-engine.c,48,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-observe-client.c,51,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-observe.c,46,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-res-well-known-core.c,45,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-res-well-known-core.c,63,15,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"    bufpos += snprintf((char *)buffer + bufpos, \",bfe7f40dd9cd5aa9f1294d79daa873e25438049494449de9586b155581636e3e,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-separate.c,48,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/er-coap/er-coap-transactions.c,47,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
