File,Name,CWEs,Category
drivers/usb/device/usb_dc_sam0.c,memcpy,CWE-120,buffer
drivers/usb/device/usb_dc_sam0.c,memcpy,CWE-120,buffer
drivers/usb/device/usb_dc_stm32.c,memcpy,CWE-120,buffer
drivers/usb/device/usb_dc_stm32.c,memcpy,CWE-120,buffer
drivers/wifi/eswifi/eswifi_bus_spi.c,char,CWE-119,buffer
drivers/wifi/eswifi/eswifi_core.c,atoi,CWE-190,integer
drivers/wifi/eswifi/eswifi_core.c,atoi,CWE-190,integer
drivers/wifi/eswifi/eswifi_core.c,char,CWE-119,buffer
drivers/wifi/eswifi/eswifi_core.c,char,CWE-119,buffer
drivers/wifi/eswifi/eswifi_core.c,atoi,CWE-190,integer
drivers/wifi/eswifi/eswifi_core.c,memcpy,CWE-120,buffer
drivers/wifi/eswifi/eswifi_core.c,memcpy,CWE-120,buffer
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126,buffer
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126,buffer
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126,buffer
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126,buffer
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126,buffer
drivers/wifi/eswifi/eswifi_offload.c,atoi,CWE-190,integer
drivers/wifi/eswifi/eswifi_offload.c,atoi,CWE-190,integer
drivers/wifi/eswifi/eswifi_offload.c,memcpy,CWE-120,buffer
drivers/wifi/eswifi/eswifi_offload.c,strlen,CWE-126,buffer
drivers/wifi/eswifi/eswifi.h,char,CWE-119,buffer
drivers/wifi/eswifi/eswifi.h,char,CWE-119,buffer
drivers/wifi/eswifi/eswifi.h,char,CWE-119,buffer
drivers/wifi/simplelink/simplelink_sockets.c,strlen,CWE-126,buffer
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120,buffer
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120,buffer
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120,buffer
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120,buffer
drivers/wifi/simplelink/simplelink_support.c,char,CWE-119,buffer
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120,buffer
drivers/wifi/simplelink/simplelink.c,char,CWE-119,buffer
drivers/wifi/winc1500/wifi_winc1500_config.h,printf,CWE-134,format
drivers/wifi/winc1500/wifi_winc1500.c,char,CWE-119,buffer
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120,buffer
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120,buffer
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120,buffer
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120,buffer
drivers/wifi/winc1500/wifi_winc1500.c,strlen,CWE-126,buffer
ext/hal/altera/altera_hal/HAL/inc/os/alt_syscall.h,open,CWE-362,misc
ext/hal/altera/altera_hal/HAL/inc/os/alt_syscall.h,read,"CWE-120, CWE-20",buffer
ext/hal/altera/altera_hal/HAL/inc/os/alt_syscall.h,usleep,CWE-676,obsolete
ext/hal/altera/altera_hal/HAL/inc/sys/alt_dev.h,open,CWE-362,misc
ext/hal/altera/altera_hal/HAL/inc/sys/alt_dev.h,read,"CWE-120, CWE-20",buffer
ext/hal/altera/altera_hal/HAL/inc/sys/alt_driver.h,read,"CWE-120, CWE-20",buffer
