File,Name,CWEs,Category
samples/bluetooth/peripheral/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral/src/main.c,strlen,CWE-126,buffer
samples/boards/96b_argonkey/sensors/src/main.c,char,CWE-119,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,char,CWE-119,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/96b_argonkey/sensors/src/main.c,sprintf,CWE-120,buffer
samples/boards/bbc_microbit/line_follower_robot/src/main.c,char,CWE-119,buffer
samples/boards/bbc_microbit/line_follower_robot/src/main.c,char,CWE-119,buffer
samples/boards/intel_s1000_crb/audio/src/audio_core.c,read,"CWE-120, CWE-20",buffer
samples/boards/intel_s1000_crb/audio/src/audio_core.c,read,"CWE-120, CWE-20",buffer
samples/boards/intel_s1000_crb/audio/src/audio_core.c,read,"CWE-120, CWE-20",buffer
samples/boards/intel_s1000_crb/audio/src/audio_core.c,read,"CWE-120, CWE-20",buffer
samples/boards/intel_s1000_crb/audio/src/tuning_driver.c,memcpy,CWE-120,buffer
samples/boards/intel_s1000_crb/dmic/src/dmic_sample.c,char,CWE-119,buffer
samples/boards/intel_s1000_crb/i2s/src/i2s_sample.c,char,CWE-119,buffer
