File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
RIOT 2018.07/sys/quad_math/quad.h,65,9,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,typedef char ___QUAD_ASSERT__2COMPLEMENT[-1234 == (~1234 + 1) ? +1 : -1];,bd3437af46bf08e5cedd5aa39dd4707f0acaf6b33c5af6256a71d6d873a1f7df
RIOT 2018.07/sys/random/fortuna/fortuna.c,120,9,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"        memcpy(out + (blocks * 16), buf, remaining);",9094f63bad1be53b1e4f1f8082cd60b9acd280771aa463ebcf3e15013f9a5711
RIOT 2018.07/sys/random/sha1prng.c,87,13,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"            memcpy(bytes + loc, digestdata + datapos, copy);",f7d9323623a9a5c06d4de30294f0565f7959ccbb7ba439d26e195ec4ca177220
RIOT 2018.07/sys/random/sha1prng.c,119,5,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"    memcpy(prng_state, &ctx.state, 20);",d97df2908de0c24dcae3712a4a148e393f178b878c146084a7f242cf9bc495e7
RIOT 2018.07/sys/random/sha1prng.c,128,5,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"    memcpy(prng_state, &ctx.state, 20);",d97df2908de0c24dcae3712a4a148e393f178b878c146084a7f242cf9bc495e7
RIOT 2018.07/sys/rtt_stdio/rtt_stdio.c,122,8,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,static char up_buffer   [STDIO_TX_BUFSIZE];,d163824c934130e2862b923bc891d8ff49303cadf89373ee5130ce84d30961c2
RIOT 2018.07/sys/rtt_stdio/rtt_stdio.c,127,8,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,static char down_buffer [STDIO_RX_BUFSIZE];,5386cfb2ff45219cca437ef8fe16ccb5ca128b8017d8dd63c921ed2abab7b9e2
RIOT 2018.07/sys/rtt_stdio/rtt_stdio.c,168,5,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,"    char        sentinel[16];      /* Initialized to ""SEGGER RTT"" */",d77323fbdb1f0cd76f9c827b97bad69f09768a080078c9ca282026ed8e3cc9cd
RIOT 2018.07/sys/rtt_stdio/rtt_stdio.c,211,9,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"        memcpy(buf_ptr, rtt_cb.down[0].buf_ptr + rd_off, num_bytes_rem);",86b4cff3614cb213eb2c57378674045817766e3dfeca5784fa87d8a41599b2e7
RIOT 2018.07/sys/rtt_stdio/rtt_stdio.c,226,9,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"        memcpy(buf_ptr, rtt_cb.down[0].buf_ptr + rd_off, num_bytes_rem);",86b4cff3614cb213eb2c57378674045817766e3dfeca5784fa87d8a41599b2e7
